AVE_iter:115	EPISODE_REWARD:75.34719760515938	FINISHED_NUM:634.46875	TIME_MEAN:0.024257171875709492	TIME_STD:0.010248735822193567	FARE_MEAN:0.9547358947076818	FARE_STD:0.4066960057245313
AVE_iter:116	EPISODE_REWARD:76.00304301150312	FINISHED_NUM:642.46875	TIME_MEAN:0.02528403165784658	TIME_STD:0.012256788525649421	FARE_MEAN:0.9718666237724669	FARE_STD:0.3863897149182157
AVE_iter:117	EPISODE_REWARD:76.62861029478125	FINISHED_NUM:634.78125	TIME_MEAN:0.023824657437618156	TIME_STD:0.00987061347576337	FARE_MEAN:0.964418410825852	FARE_STD:0.3999922972677251
AVE_iter:118	EPISODE_REWARD:76.12100553428436	FINISHED_NUM:645.65625	TIME_MEAN:0.024468237591408808	TIME_STD:0.01078276072023498	FARE_MEAN:0.9722207885806149	FARE_STD:0.39083773574453184
AVE_iter:119	EPISODE_REWARD:76.1244417303625	FINISHED_NUM:637.78125	TIME_MEAN:0.02377176669262821	TIME_STD:0.00980908200145226	FARE_MEAN:0.9612458625389211	FARE_STD:0.3879054327593587
AVE_iter:120	EPISODE_REWARD:77.80818620999375	FINISHED_NUM:649.40625	TIME_MEAN:0.02499182739885235	TIME_STD:0.011768529841690112	FARE_MEAN:0.9913814666759417	FARE_STD:0.4116157387483777
AVE_iter:121	EPISODE_REWARD:75.62468170543437	FINISHED_NUM:637.5	TIME_MEAN:0.024338500863364324	TIME_STD:0.010697944999077731	FARE_MEAN:0.9575444845854665	FARE_STD:0.3890607964363547
AVE_iter:122	EPISODE_REWARD:76.61819958115937	FINISHED_NUM:641.53125	TIME_MEAN:0.024110577162295196	TIME_STD:0.010615417600338736	FARE_MEAN:0.9706812765721949	FARE_STD:0.39498795997531844
AVE_iter:123	EPISODE_REWARD:77.59835736027188	FINISHED_NUM:640.125	TIME_MEAN:0.024018024829726065	TIME_STD:0.010197534851737945	FARE_MEAN:0.9765911982923074	FARE_STD:0.3938267589820327
AVE_iter:124	EPISODE_REWARD:76.42008960812812	FINISHED_NUM:640.5625	TIME_MEAN:0.023204630344814015	TIME_STD:0.00902573449030549	FARE_MEAN:0.9677676637008049	FARE_STD:0.3838642770801815
AVE_iter:125	EPISODE_REWARD:76.41133465001874	FINISHED_NUM:640.21875	TIME_MEAN:0.02451690109001128	TIME_STD:0.010620067073597073	FARE_MEAN:0.9722137415059626	FARE_STD:0.3793229911387896
